Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
МЕН-Б-3-Д-2023-1;Пн;02.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
МЕН-Б-3-Д-2023-1;Пн;02.12.2024;15.30 - 17.00;Теория вероятностей и математическая статистика;Практическое занятие;Федотова Ольга Михайловна;203
МЕН-Б-3-Д-2023-1;Пн;02.12.2024;17.10 - 18.40;Проектная деятельность;Практическое занятие;Михолап Сергей Владимирович;203
МЕН-Б-3-Д-2023-1;Пн;02.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
МЕН-Б-3-Д-2023-1;Пн;02.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ПСИ-Б-04-Д-2023-1;Пн;02.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-04-Д-2023-1;Пн;02.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ПСИ-Б-04-Д-2023-1;Пн;02.12.2024;15.30 - 17.00;Гендерная психология. Теория и практика;Практическое занятие;Самаль Елена Викторовна;312
ПСИ-Б-04-Д-2023-1;Пн;02.12.2024;17.10 - 18.40;Психология безопасности;Практическое занятие;Шингель Александр Леонидович;312
ПСИ-Б-04-Д-2023-1;Пн;02.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
СРБ-Б-04-Д-2023-1;Пн;02.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
СРБ-Б-04-Д-2023-1;Пн;02.12.2024;17.10 - 18.40;Социальная педагогика;Лекция;Короткевич Татьяна Николаевна;316
